0.000000,-0.000000
0.142313,-0.190438
0.145616,-0.204578
0.138154,-0.209011
0.108309,-0.190716
0.073083,-0.170129
0.053200,-0.165371
0.041700,-0.167048
0.035712,-0.172367
0.041268,-0.185941
0.040539,-0.194921
0.045629,-0.208914
0.080821,-0.249125
0.080821,-0.249125
0.080821,-0.249125
0.080821,-0.249125
0.080821,-0.249125
0.080821,-0.249125
0.122610,-0.296992
0.424862,-0.682268
0.727499,-1.072170
1.030136,-1.462080
1.332773,-1.851990
1.635411,-2.241900
1.937861,-2.631568
2.240498,-3.021478
2.543136,-3.411388
2.840704,-3.794767
2.943226,-3.926854
2.943226,-3.926854
3.181148,-3.623571
3.484209,-3.234008
3.787646,-2.843944
4.090144,-2.455089
4.393205,-2.065508
4.696267,-1.675928
4.999328,-1.286347
5.302390,-0.896767
5.605451,-0.507186
5.883184,-0.150165
5.942075,-0.074461
5.879660,0.013916
5.591173,0.413770
5.302286,0.813596
5.013219,1.213670
4.724152,1.613744
4.435084,2.013818
4.146017,2.413892
3.856950,2.813967
3.567882,3.214041
3.278815,3.614115
3.067200,3.906995
3.054520,3.924544
2.953345,3.796843
2.650529,3.407811
2.347501,3.018205
2.044473,2.628599
1.741445,2.238992
1.438417,1.849386
1.135388,1.459780
0.832360,1.070173
0.529332,0.680567
0.226304,0.290961
0.057300,0.073671
